id,Month,Avg,Max,Min
6234202f-ff97-4d9b-955f-92bccb61c317,9,"25,2","29,6","23,4"
6234202f-ff97-4d9b-955f-92bccb61c317,10,"20,3","24,3","17,3"
6234202f-ff97-4d9b-955f-92bccb61c317,11,"15,1","19,2","11,9"
6234202f-ff97-4d9b-955f-92bccb61c317,12,"9,5","12,7","6,4"
4dd122b5-7ab0-48b0-999b-dd08231fd517,1,"4,3","6,8","1,6"
4dd122b5-7ab0-48b0-999b-dd08231fd517,2,"5,1","8,3","1,8"
4dd122b5-7ab0-48b0-999b-dd08231fd517,3,"6,7","11,1","2,6"
4dd122b5-7ab0-48b0-999b-dd08231fd517,4,"9,5","14,5","4,2"
4dd122b5-7ab0-48b0-999b-dd08231fd517,5,"13,8","18,8","7,9"
4dd122b5-7ab0-48b0-999b-dd08231fd517,6,"17,4","22,3","11,8"
4dd122b5-7ab0-48b0-999b-dd08231fd517,7,"18,4","23,2","12,8"
4dd122b5-7ab0-48b0-999b-dd08231fd517,8,"18,4","23,6","13,0"
4dd122b5-7ab0-48b0-999b-dd08231fd517,9,"15,3","20,4","10,2"
4dd122b5-7ab0-48b0-999b-dd08231fd517,10,"11,8","15,6","7,9"
4dd122b5-7ab0-48b0-999b-dd08231fd517,11,"7,5","10,6","4,3"
4dd122b5-7ab0-48b0-999b-dd08231fd517,12,"5,9","8,2","3,3"
9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f,1,"21,4","27,3","15,7"
9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f,2,"24,6","31,1","18,0"
9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f,3,"28,4","34,9","21,5"
9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f,4,"31,3","37,5","25,3"
9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f,5,"30,1","35,0","26,1"
9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f,6,"28,0","31,7","25,4"
9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f,7,"27,5","31,1","25,0"
9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f,8,"27,1","30,5","24,8"
9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f,9,"27,0","30,5","24,5"
9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f,10,"26,2","29,7","23,4"
9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f,11,"24,0","28,4","19,9"
9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f,12,"21,5","26,7","16,7"
46cdc57e-d4d6-49a4-819a-5b8161bbdb3e,1,"2,4","4,1","0,3"
46cdc57e-d4d6-49a4-819a-5b8161bbdb3e,2,"2,6","4,7","0,2"
46cdc57e-d4d6-49a4-819a-5b8161bbdb3e,3,"4,5","7,0","2,0"
46cdc57e-d4d6-49a4-819a-5b8161bbdb3e,4,"7,4","11,5","3,3"
46cdc57e-d4d6-49a4-819a-5b8161bbdb3e,5,"12,9","17,3","8,3"
46cdc57e-d4d6-49a4-819a-5b8161bbdb3e,6,"17,0","21,1","12,4"
46cdc57e-d4d6-49a4-819a-5b8161bbdb3e,7,"18,0","21,7","14,2"
46cdc57e-d4d6-49a4-819a-5b8161bbdb3e,8,"18,1","22,1","13,9"
46cdc57e-d4d6-49a4-819a-5b8161bbdb3e,9,"15,1","18,6","11,6"
46cdc57e-d4d6-49a4-819a-5b8161bbdb3e,10,"10,7","13,1","8,1"
46cdc57e-d4d6-49a4-819a-5b8161bbdb3e,11,"6,4","8,2","4,2"
46cdc57e-d4d6-49a4-819a-5b8161bbdb3e,12,"4,0","5,5","2,1"
5aab6f8f-70db-41a8-a1fb-e8d9026e533b,1,"4,6","6,8","2,2"
5aab6f8f-70db-41a8-a1fb-e8d9026e533b,2,"5,2","8,0","2,4"
5aab6f8f-70db-41a8-a1fb-e8d9026e533b,3,"7,4","10,8","4,2"
5aab6f8f-70db-41a8-a1fb-e8d9026e533b,4,"9,6","13,6","5,6"
5aab6f8f-70db-41a8-a1fb-e8d9026e533b,5,"13,8","18,0","9,6"
5aab6f8f-70db-41a8-a1fb-e8d9026e533b,6,"17,2","21,2","13,1"
5aab6f8f-70db-41a8-a1fb-e8d9026e533b,7,"18,4","22,2","14,4"
5aab6f8f-70db-41a8-a1fb-e8d9026e533b,8,"18,7","22,6","14,8"
5aab6f8f-70db-41a8-a1fb-e8d9026e533b,9,"15,6","19,5","11,9"
5aab6f8f-70db-41a8-a1fb-e8d9026e533b,10,"12,2","15,3","9,2"
5aab6f8f-70db-41a8-a1fb-e8d9026e533b,11,"7,9","10,4","5,3"
5aab6f8f-70db-41a8-a1fb-e8d9026e533b,12,"6,1","8,2","3,8"
8755d625-7efa-4e92-aed9-cb2386083a44,1,"1,3","5,1","-2,4"
8755d625-7efa-4e92-aed9-cb2386083a44,2,"3,0","7,0","-1,0"
8755d625-7efa-4e92-aed9-cb2386083a44,3,"6,6","11,4","2,0"
8755d625-7efa-4e92-aed9-cb2386083a44,4,"12,0","16,7","7,6"
8755d625-7efa-4e92-aed9-cb2386083a44,5,"17,5","22,4","13,1"
8755d625-7efa-4e92-aed9-cb2386083a44,6,"22,5","27,3","18,1"
8755d625-7efa-4e92-aed9-cb2386083a44,7,"26,1","30,7","22,0"
8755d625-7efa-4e92-aed9-cb2386083a44,8,"25,2","29,6","21,4"
8755d625-7efa-4e92-aed9-cb2386083a44,9,"21,7","26,1","17,8"
8755d625-7efa-4e92-aed9-cb2386083a44,10,"15,6","20,0","11,5"
8755d625-7efa-4e92-aed9-cb2386083a44,11,"9,3","13,5","5,2"
8755d625-7efa-4e92-aed9-cb2386083a44,12,"4,4","8,0","0,7"
79a47311-1ffb-44d1-bd87-a1a9fb190f40,1,"-2,5","0,7","-6,1"
79a47311-1ffb-44d1-bd87-a1a9fb190f40,2,"-0,9","3,4","-5,4"
79a47311-1ffb-44d1-bd87-a1a9fb190f40,3,"4,3","9,4","0,7"
79a47311-1ffb-44d1-bd87-a1a9fb190f40,4,"10,3","15,5","5,3"
79a47311-1ffb-44d1-bd87-a1a9fb190f40,5,"17,0","22,3","11,9"
79a47311-1ffb-44d1-bd87-a1a9fb190f40,6,"22,7","28,0","17,6"
79a47311-1ffb-44d1-bd87-a1a9fb190f40,7,"24,9","29,4","20,3"
79a47311-1ffb-44d1-bd87-a1a9fb190f40,8,"24,2","28,8","19,7"
79a47311-1ffb-44d1-bd87-a1a9fb190f40,9,"21,2","26,0","16,7"
79a47311-1ffb-44d1-bd87-a1a9fb190f40,10,"13,6","18,3","9,1"
